filename,formula,BB,BCo,BFe,BMo,BNi,BO,CoCo,CoFe,CoMo,CoNi,CoO,FeFe,FeMo,FeNi,FeO,MoMo,MoNi,MoO,NiNi,NiO,OO
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-52,B12Co12Fe12Mo12Ni12O60,18,26,29,33,30,158,12,36,30,28,168,16,31,34,150,17,31,153,9,171,380
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-53,B12Co12Fe12Mo12Ni12O60,18,33,34,32,21,156,12,34,29,29,163,11,31,29,162,10,32,168,15,171,370
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-54,B12Co12Fe12Mo12Ni12O60,10,37,34,32,25,164,18,33,25,35,146,14,31,34,152,18,27,161,13,165,386
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-55,B12Co12Fe12Mo12Ni12O60,10,30,28,36,29,169,15,24,40,26,162,19,30,37,155,13,30,150,14,162,381
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-56,B12Co12Fe12Mo12Ni12O60,11,34,29,29,30,168,12,37,29,40,148,16,37,33,144,17,28,155,11,159,393
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-57,B12Co12Fe12Mo12Ni12O60,18,35,36,30,35,140,18,32,31,23,155,9,35,41,150,12,34,158,17,145,406
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-58,B12Co12Fe12Mo12Ni12O60,11,34,30,30,25,171,13,33,34,35,150,12,34,33,158,14,32,154,15,157,385
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-59,B12Co12Fe12Mo12Ni12O60,8,30,34,33,34,165,15,43,28,33,148,13,34,33,142,18,38,143,8,158,402
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-60,B12Co12Fe12Mo12Ni12O60,13,39,25,31,28,163,15,36,25,31,151,13,31,37,157,13,36,163,10,160,383
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-61,B12Co12Fe12Mo12Ni12O60,13,32,42,26,31,155,12,30,34,33,159,17,29,22,155,13,38,159,15,158,387
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-62,B12Co12Fe12Mo12Ni12O60,14,30,30,43,31,150,9,26,28,34,176,17,38,25,159,10,26,157,14,168,375
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-63,B12Co12Fe12Mo12Ni12O60,16,31,29,37,32,151,14,40,27,32,154,12,28,31,160,11,32,166,17,151,389
POSCAR-B12_Co12_Fe12_Mo12_Ni12_O60-64,B12Co12Fe12Mo12Ni12O60,13,29,34,30,36,157,12,44,28,34,153,13,32,24,152,12,32,166,15,156,388
